,gx,gy,gz
582,32323064,5723510,99.0
583,32323070,5723511,99.0
584,32323076,5723510,98.0
585,32323080,5723510,100.0
586,32323087,5723511,97.0
587,32323091,5723513,98.0
588,32323095,5723515,99.0
589,32323098,5723515,97.0
590,32323107,5723514,95.0
591,32323116,5723514,97.0
592,32323123,5723513,97.0
593,32323132,5723511,105.0
594,32323136,5723510,103.0
595,32323145,5723508,100.0
596,32323150,5723507,100.0
597,32323157,5723508,96.0
598,32323163,5723508,97.0
599,32323167,5723506,96.0
600,32323173,5723506,95.0
601,32323180,5723504,93.0
602,32323188,5723502,92.0
603,32323192,5723498,93.0
604,32323201,5723495,93.0
605,32323211,5723491,95.0
606,32323219,5723486,96.0
607,32323226,5723481,97.0
608,32323234,5723473,94.0
609,32323239,5723468,92.0
610,32323247,5723460,95.0
611,32323252,5723454,98.0
612,32323257,5723448,100.0
613,32323261,5723441,100.0
614,32323265,5723436,98.0
615,32323266,5723435,96.0
616,32323267,5723434,94.0
617,32323268,5723434,93.0
618,32323268,5723434,93.0
619,32323268,5723434,94.0
620,32323269,5723433,91.0
621,32323269,5723431,90.0
622,32323273,5723425,92.0
623,32323277,5723421,91.0
624,32323281,5723416,90.0
625,32323284,5723414,89.0
626,32323290,5723412,86.0
627,32323293,5723408,84.0
628,32323296,5723405,81.0
629,32323301,5723401,82.0
630,32323306,5723397,80.0
631,32323313,5723394,78.0
632,32323317,5723392,76.0
633,32323321,5723390,72.0
634,32323326,5723390,70.0
635,32323333,5723390,68.0
636,32323342,5723388,67.0
637,32323351,5723385,67.0
638,32323354,5723385,67.0
639,32323360,5723384,67.0
640,32323370,5723381,73.0
641,32323378,5723381,73.0
642,32323385,5723382,72.0
643,32323389,5723384,70.0
644,32323394,5723385,72.0
645,32323398,5723384,73.0
646,32323401,5723382,74.0
647,32323403,5723381,78.0
648,32323407,5723379,79.0
649,32323408,5723377,81.0
650,32323409,5723374,84.0
651,32323409,5723373,85.0
652,32323408,5723371,88.0
653,32323409,5723369,93.0
654,32323409,5723369,94.0
655,32323409,5723368,96.0
656,32323409,5723368,97.0
657,32323409,5723368,99.0
658,32323411,5723371,94.0
659,32323410,5723373,80.0
660,32323411,5723373,84.0
661,32323411,5723373,88.0
662,32323411,5723373,90.0
663,32323411,5723373,91.0
664,32323411,5723373,91.0
665,32323412,5723374,93.0
666,32323415,5723374,94.0
667,32323416,5723374,93.0
668,32323417,5723372,87.0
669,32323416,5723370,88.0
670,32323418,5723368,83.0
671,32323421,5723365,81.0
672,32323423,5723363,78.0
673,32323425,5723360,69.0
674,32323428,5723356,74.0
675,32323431,5723352,79.0
676,32323433,5723349,81.0
677,32323435,5723345,78.0
678,32323437,5723343,77.0
679,32323441,5723342,76.0
680,32323444,5723339,73.0
681,32323445,5723336,74.0
682,32323447,5723332,74.0
683,32323449,5723327,77.0
684,32323451,5723324,80.0
685,32323455,5723319,81.0
686,32323457,5723315,82.0
687,32323460,5723311,83.0
688,32323462,5723308,82.0
689,32323464,5723305,83.0
690,32323466,5723301,86.0
691,32323466,5723297,87.0
692,32323465,5723295,89.0
693,32323464,5723294,90.0
694,32323463,5723291,92.0
695,32323462,5723288,96.0
696,32323461,5723285,98.0
697,32323459,5723284,98.0
698,32323456,5723282,97.0
699,32323455,5723280,98.0
